,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_middle,stoch_k,stoch_d,stoch_j,adx,obv,ichimoku_a,ichimoku_b,rolling_std,fibo_0,fibo_0.382,fibo_0.5,fibo_0.618,fibo_1,atr,mfi
2022-01-11,2.53,2.76,2.5204,2.67,677059,2.8885,2.863923226682231,3.1132,2.9045770111251685,2.470368,2.505258447971082,43.84306294965023,-0.10547933434733903,-0.07489256502963837,-0.030586769317700657,3.203604744489837,2.5733952555101633,2.8885,30.13698630136983,14.36958344981826,61.67179200447298,12.022236370181684,57957598,2.8275,3.13,0.16164532324294814,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.24556583604529233,48.50813746277332
2022-01-12,2.64,2.78,2.6388,2.65,549788,2.875,2.843549586045828,3.1088,2.8945935989241818,2.471868,2.5066986624191308,43.38023967152691,-0.10895341514134538,-0.08170473505197977,-0.02724868008936561,3.206270282397931,2.543729717602069,2.875,27.397260273972563,21.461187214611815,39.26940639269406,12.501718935050436,57407810,2.8275,3.13,0.16993806921470647,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.2381111334706286,47.79838525805571
2022-01-13,2.65,2.71,2.6,2.65,361891,2.853,2.825116292136702,3.0978000000000003,2.885001693084018,2.472718,2.5081245463751594,43.38023967152691,-0.1104336389527023,-0.08745051583212428,-0.022983123120578028,3.1826725648275946,2.5233274351724058,2.853,27.397260273972563,28.310502283104963,25.570776255707763,13.14666654309106,57769701,2.8275,3.13,0.16911845739475076,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.22896033822272654,44.25224679867185
2022-01-14,2.6,2.75,2.57,2.75,593339,2.8415,2.8179623595522543,3.0896000000000003,2.879707509041508,2.473768,2.51053126730675,46.64625760898246,-0.10235764747780873,-0.09043194216126117,-0.01192570531654756,3.168686491163685,2.514313508836315,2.8415,44.77611940298505,33.1902133169767,67.94793157500176,13.426154422389393,58363040,2.8275,3.13,0.16784312851432076,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.22546317120681753,43.24027416958806
2022-01-18,2.57,2.85,2.57,2.69,844373,2.8205,2.8057754681663254,3.0754,2.8722679988830175,2.475068,2.512317025841011,44.970116843568526,-0.09965015959887191,-0.09227558564878333,-0.0073745739500885865,3.1294643992436733,2.5115356007563268,2.8205,35.820895522388035,35.998091733115196,35.46650310093371,12.932066919549897,57518667,2.8075,3.13,0.15849539259450166,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.22935865897775914,50.40199972852549
2022-01-19,2.74,2.7852,2.42,2.44,850315,2.7990000000000004,2.770939709293342,3.0524,2.855316312652311,2.474518,2.511597453444583,38.7260155529028,-0.1163363140002871,-0.09708773131908409,-0.01924858268120301,3.1483937606769814,2.4496062393230194,2.7990000000000004,2.857142857142859,27.81805259417196,-47.06467661691534,13.321975418909958,56668352,2.75,3.115,0.17923521740410173,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.23906161190791922,53.07386040680733
2022-01-20,2.48,2.5099,2.25,2.26,807448,2.762,2.7222787845987377,3.0296,2.8319705749012396,2.473068,2.5090939961963783,34.961937696140026,-0.142442716291991,-0.10615872831366549,-0.03628398797832552,3.1701960313378885,2.3538039686621115,2.762,1.1494252873562971,13.275821222295711,-23.103366582522533,14.466817577174526,55860904,2.66,3.0300000000000002,0.20940014577987345,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.2405500682002107,46.025113801669725
2022-01-21,2.2,2.22,2.01,2.02,1158974,2.711,2.6553950908274295,3.0056,2.800128591571779,2.470618,2.5042273892690514,30.68005006250563,-0.18041847060837446,-0.1210106767726073,-0.059407793835767164,3.211875233965507,2.2101247660344927,2.711,0.9009009009009215,1.6358230151333402,-0.568943327563916,16.385499671122943,54701930,2.54,2.91,0.25694357357209846,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.2412250633287671,45.1920977598501
2022-01-24,2.0,2.07,1.77,1.98,1652720,2.659,2.591071748843865,2.9758,2.7679666860199448,2.468468,2.4990111963410016,30.020138264458865,-0.2113063867182663,-0.1390698187617391,-0.07223656795652719,3.231569646418669,2.0864303535813304,2.659,15.555555555555552,5.868627247937571,34.929412170791515,18.814190868961497,53049210,2.42,2.79,0.2937220311433029,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.24542327309099798,35.8203545344296
2022-01-25,1.93,2.12,1.92,2.09,689490,2.6109999999999998,2.5433506299063544,2.9488,2.741379757156418,2.467418,2.49494143319333,34.210974220874164,-0.2243233422263775,-0.1561205234546668,-0.06820281877171072,3.2049663290120063,2.0170336709879932,2.6109999999999998,25.196850393700775,13.884435616719065,47.821679947664194,20.709754493617304,53738700,2.3925,2.79,0.30469829771690343,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.24217875358449814,28.417508118748714
