,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_middle,stoch_k,stoch_d,stoch_j,adx,obv,ichimoku_a,ichimoku_b,rolling_std,fibo_0,fibo_0.382,fibo_0.5,fibo_0.618,fibo_1,atr,mfi
2002-04-24,33.21,33.31,32.2,32.5,68953900,34.417,34.38648076181663,35.546,35.52824826815658,37.3496,40.05580503899251,35.5659016817594,-0.7479526001456094,-0.651839757721341,-0.09611284242426843,36.52435948519321,32.309640514806794,34.417,9.090909090909012,15.660753677995018,-4.048780083263001,28.364568289309222,-34729300,34.44500000000001,35.695,1.0810526059347711,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1413949413962245,33.797460035695195
2002-04-25,32.3,32.73,32.0,32.42,103073700,34.2575,34.19919687973886,35.467800000000004,35.40635617920927,37.2835,39.97982687940055,35.19925528474913,-0.8126195155774738,-0.6839957092925676,-0.12862380628490622,36.46026076772619,32.05473923227381,34.2575,12.000000000000048,10.720779220779159,14.558441558441825,29.438996385436877,-137803000,34.16,35.595,1.1299924312547729,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1120095884393513,32.900269517458426
2002-04-26,32.66,32.78,31.01,31.04,100193400,34.0065,33.89832098643039,35.3496,35.23512652512263,37.22145,39.890873378112985,29.541764967003132,-0.964109326635743,-0.7400184327612027,-0.2240908938745403,36.46023409313918,31.552765906860827,34.0065,0.6681514476614163,7.253020179523495,-12.501586016062742,31.04079828496732,-237996400,33.665000000000006,35.1,1.2587390306670454,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.159008903550826,32.375843616621296
2002-04-29,31.24,31.55,30.56,31.12,85326800,33.72500000000001,33.63371898772274,35.2344,35.07374901433351,37.168800000000005,39.80360100619147,30.241738432702206,-1.0654291577881096,-0.8051005777665842,-0.2603285800215255,36.14674730305071,31.303252696949304,33.72500000000001,11.33603238866401,8.001394612108493,18.005307941775047,32.76256738824668,-152669600,33.44,34.875,1.2423301535753135,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1469368390114814,32.46411305080787
2002-04-30,31.03,32.19,30.94,31.73,95357900,33.557,33.45241241746343,35.153400000000005,34.9426216020067,37.1174,39.72326666782141,35.50326848434439,-1.0840081803970776,-0.8608820982926829,-0.22312608210439466,36.042019919403714,31.071980080596287,33.557,23.68421052631582,11.896131454213752,47.26036867051995,33.313700240504595,-57311700,33.2925,34.875,1.274788320904303,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1542984933678038,40.45726829461856
2002-05-01,31.67,31.84,30.58,31.56,109975700,33.383500000000005,33.272182663419294,35.091,34.809969774477025,37.0727,39.64204013381324,34.71736903977096,-1.0997722786759354,-0.9086601343693335,-0.19111214430660195,35.91698988548073,30.850010114519282,33.383500000000005,20.24291497975708,18.421052631578974,23.886639676113298,34.05575612195983,-167287400,33.269999999999996,34.875,1.2996528888649597,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1618486009843896,39.99439399509001
2002-05-02,31.39,31.99,30.46,30.51,85852200,33.17100000000001,33.00911764785555,34.9982,34.64134350881126,37.020250000000004,39.55117406283002,30.261663306235732,-1.1833507342656304,-0.9635982543485928,-0.2197524799170376,35.911510171452214,30.430489828547802,33.17100000000001,0.9920634920635063,14.973062999378804,-26.96993552256709,34.501246689186374,-253139600,32.957499999999996,34.825,1.4058520547895679,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1881451294855043,33.003351152205994
2002-05-03,30.47,30.51,29.48,29.74,92103200,32.9395,32.697773109964544,34.923399999999994,34.449133959446115,36.95095,39.4535504403143,27.47669476405207,-1.2967714532117967,-1.0302328941212335,-0.2665385590905631,35.9993789191458,29.879621080854207,32.9395,4.318936877076379,8.517971782965658,-4.0791329347021765,35.525069219997334,-345242800,32.45,34.335,1.569684765522652,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1768490488079684,26.519713299331812
2002-05-06,29.63,29.98,28.85,28.97,96491200,32.648,32.34274709949173,34.8298,34.23426596103646,36.880050000000004,39.349236505584805,24.999067395511887,-1.4322803190162077,-1.1106423791002284,-0.3216379399159792,36.036519440675036,29.259480559324974,32.648,1.8045112781954507,2.3718372157784464,0.6698594030294593,36.805119994670335,-441734000,31.9775,34.019999999999996,1.7382737958761383,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1735026881788275,19.755061125709943
2002-05-07,29.27,29.35,28.42,28.7,101954400,32.4035,31.995818804302044,34.7036,34.01723592334876,36.8118,39.243273953290434,24.175856532695917,-1.5436644125209042,-1.1972467857843636,-0.34641762673654064,36.169507302148055,28.637492697851947,32.4035,4.1604754829122985,3.427974546061377,5.625477356614142,38.200328704875915,-543688400,31.4425,33.805,1.931920982899258,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.156109639023197,13.280718987009152
