,open,high,low,close,volume
2025-04-23,1.8800,2.0000,1.8800,2.0000,5028341
2025-04-24,1.9950,2.2400,1.9900,2.2000,7132761
2025-04-25,2.2000,2.3300,2.1100,2.2400,5901795
2025-04-28,2.2900,2.3400,2.0800,2.1900,5215433
2025-04-29,2.1900,2.2099,2.0700,2.0700,3130990
2025-04-30,2.0000,2.0100,1.9000,1.9700,4830073
2025-05-01,2.0200,2.0600,1.9700,2.0000,3538908
2025-05-02,2.0300,2.1800,2.0200,2.1800,4938516
2025-05-05,2.1790,2.4000,2.0500,2.0700,11428163
2025-05-06,2.0300,2.1100,2.0000,2.1100,3049607
2025-05-07,2.1250,2.2100,2.0550,2.0700,3930245
2025-05-08,2.1050,2.1050,2.0100,2.0500,5411238
2025-05-09,2.0600,2.0700,1.9400,1.9700,6319226
2025-05-12,2.1000,2.1300,2.0400,2.0900,6960699
2025-05-13,2.1100,2.3000,2.0500,2.2700,10231713
2025-05-14,2.4600,2.5550,2.3000,2.4100,15771145
2025-05-15,2.2000,2.2400,2.0800,2.1900,11067553
2025-05-16,2.2300,2.6000,2.2150,2.5800,14498483
